sample_alias;host_scientific_name;host_sex;sample_site_ID;suborder_host;latitude;geographic_location_country;longitude;host_tax_id;collection_date;sample_title;sample_description;project_name;env_broad_scale;env_local_scale;env_medium;geo_loc_name;Elevation;scientific_name;tax_id
MEP1-B10;Phaneroptera_falcata;M;B3;Ensifera;46.27362922;Switzerland;7.048341589;396409;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-B11;Omocestus_rufipes;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;660956;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-B12;Euthystira_brachyptera;M;B3;Caelifera;46.27362922;Switzerland;7.048341589;294354;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-B2;Euthystira_brachyptera;F;B5.1;Caelifera;46.28508505;Switzerland;7.124605796;294354;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-B3;Platycleis_albopunctata;F;B3;Ensifera;46.27362922;Switzerland;7.048341589;470653;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-B4;Euthystira_brachyptera;M;B1;Caelifera;46.25719122;Switzerland;7.022405752;294354;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-B5;Euthystira_brachyptera;M;B3;Caelifera;46.27362922;Switzerland;7.048341589;294354;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-B6;Stauroderus_scalaris;M;B6;Caelifera;46.26808856;Switzerland;7.107608205;7019;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-B7;Stauroderus_scalaris;F;B5.1;Caelifera;46.28508505;Switzerland;7.124605796;7019;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-B8;Euthystira_brachyptera;F;B7;Caelifera;46.27627826;Switzerland;7.155130793;294354;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-B9;Metrioptera_roeselii;F;B5.2;Ensifera;46.29094315;Switzerland;7.112594383;494379;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-C10;Stauroderus_scalaris;M;B5.1;Caelifera;46.28508505;Switzerland;7.124605796;7019;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-C11;Chorthippus_biguttulus;M;B3;Caelifera;46.27362922;Switzerland;7.048341589;270253;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-C12;Chorthippus_biguttulus;F;B6;Caelifera;46.26808856;Switzerland;7.107608205;270253;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-C2;Platycleis_albopunctata;F;B3;Ensifera;46.27362922;Switzerland;7.048341589;470653;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-C3;Chorthippus_parallelus;F;B2;Caelifera;46.26847275;Switzerland;7.032514702;37639;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-C4;Mecostethus_parapleurus;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;243010;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-C5;Mecostethus_parapleurus;M;B1;Caelifera;46.25719122;Switzerland;7.022405752;243010;02.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-C6;Mecostethus_parapleurus;M;B3;Caelifera;46.27362922;Switzerland;7.048341589;243010;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-C7;Platycleis_albopunctata;M;B3;Ensifera;46.27362922;Switzerland;7.048341589;470653;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-C8;Chorthippus_parallelus;F;B4;Caelifera;46.28557705;Switzerland;7.095862432;37639;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1384;insect metagenome;1234904
MEP1-C9;Chorthippus_biguttulus;F;B4;Caelifera;46.28557705;Switzerland;7.095862432;270253;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1384;insect metagenome;1234904
MEP1-D10;Pholidoptera_griseoaptera;F;B5.1;Ensifera;46.28508505;Switzerland;7.124605796;302092;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-D11;Platycleis_albopunctata;F;B1;Ensifera;46.25719122;Switzerland;7.022405752;470653;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-D12;Platycleis_albopunctata;M;B2;Ensifera;46.26847275;Switzerland;7.032514702;470653;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-D2;Omocestus_viridulus;F;B4;Caelifera;46.28557705;Switzerland;7.095862432;294351;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1384;insect metagenome;1234904
MEP1-D3;Chorthippus_parallelus;M;B2;Caelifera;46.26847275;Switzerland;7.032514702;37639;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-D4;Tettigonia_cantans;M;B5.1;Ensifera;46.28508505;Switzerland;7.124605796;420850;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-D5;Euthystira_brachyptera;M;B1;Caelifera;46.25719122;Switzerland;7.022405752;294354;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-D6;Omocestus_viridulus;M;B7;Caelifera;46.27627826;Switzerland;7.155130793;294351;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-D7;Euthystira_brachyptera;M;B8;Caelifera;46.26791258;Switzerland;7.162490295;294354;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2277;insect metagenome;1234904
MEP1-D8;Euthystira_brachyptera;F;B4;Caelifera;46.28557705;Switzerland;7.095862432;294354;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1384;insect metagenome;1234904
MEP1-D9;Omocestus_viridulus;F;B7;Caelifera;46.27627826;Switzerland;7.155130793;294351;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-E1;Chorthippus_parallelus;M;B1;Caelifera;46.25719122;Switzerland;7.022405752;37639;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-E11;Omocestus_viridulus;F;B7;Caelifera;46.27627826;Switzerland;7.155130793;294351;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-E2;Chorthippus_parallelus;M;B6;Caelifera;46.26808856;Switzerland;7.107608205;37639;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-E3;Arcyptera_fusca;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;58562;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-E4;Chorthippus_biguttulus;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;270253;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-E5;Euthystira_brachyptera;F;B5.2;Caelifera;46.29094315;Switzerland;7.112594383;294354;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-E6;Chorthippus_parallelus;M;B5.1;Caelifera;46.28508505;Switzerland;7.124605796;37639;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-E7;Euthystira_brachyptera;F;B5.1;Caelifera;46.28508505;Switzerland;7.124605796;294354;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-E8;Platycleis_albopunctata;F;B3;Ensifera;46.27362922;Switzerland;7.048341589;470653;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-E9;Stauroderus_scalaris;M;B2;Caelifera;46.26847275;Switzerland;7.032514702;7019;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-F1;Euthystira_brachyptera;F;B7;Caelifera;46.27627826;Switzerland;7.155130793;294354;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-F10;Gomphocerippus_rufus;F;B6;Caelifera;46.26808856;Switzerland;7.107608205;58560;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-F11;Euthystira_brachyptera;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;294354;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-F12;Chorthippus_parallelus;M;B1;Caelifera;46.25719122;Switzerland;7.022405752;37639;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-F2;Metrioptera_roeselii;F;B3;Ensifera;46.27362922;Switzerland;7.048341589;494379;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-F3;Pholidoptera_griseoaptera;M;B1;Ensifera;46.25719122;Switzerland;7.022405752;302092;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-F4;Mecostethus_parapleurus;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;243010;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-F5;Chorthippus_parallelus;F;B5.2;Caelifera;46.29094315;Switzerland;7.112594383;37639;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-F6;Podisma_pedestris;F;B7;Caelifera;46.27627826;Switzerland;7.155130793;109886;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-F7;Chorthippus_parallelus;F;B8;Caelifera;46.26791258;Switzerland;7.162490295;37639;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2277;insect metagenome;1234904
MEP1-F8;Chorthippus_parallelus;F;B1;Caelifera;46.25719122;Switzerland;7.022405752;37639;16.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-F9;Chorthippus_parallelus;M;B3;Caelifera;46.27362922;Switzerland;7.048341589;37639;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-G1;Metrioptera_saussuriana;M;B5.2;Ensifera;46.29094315;Switzerland;7.112594383;323357;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-G10;Chorthippus_parallelus;M;B5.2;Caelifera;46.29094315;Switzerland;7.112594383;37639;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-G11;Ruspolia_nitidula;F;B1;Ensifera;46.25719122;Switzerland;7.022405752;62786;02.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-G12;Stenobothrus_lineatus;F;B2;Caelifera;46.26847275;Switzerland;7.032514702;355390;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-G2;Stauroderus_scalaris;F;B6;Caelifera;46.26808856;Switzerland;7.107608205;7019;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-G3;Gomphocerippus_rufus;F;B6;Caelifera;46.26808856;Switzerland;7.107608205;58560;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-G4;Chorthippus_parallelus;F;B7;Caelifera;46.27627826;Switzerland;7.155130793;37639;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2074;insect metagenome;1234904
MEP1-G5;Metrioptera_saussuriana;M;B6;Ensifera;46.26808856;Switzerland;7.107608205;323357;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-G6;Chorthippus_parallelus;F;B3;Caelifera;46.27362922;Switzerland;7.048341589;37639;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1056;insect metagenome;1234904
MEP1-G7;Euthystira_brachyptera;F;B6;Caelifera;46.26808856;Switzerland;7.107608205;294354;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1836;insect metagenome;1234904
MEP1-G8;Oedipoda_caerulescens;F;B1;Caelifera;46.25719122;Switzerland;7.022405752;58615;02.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;601;insect metagenome;1234904
MEP1-G9;Omocestus_rufipes;F;B2;Caelifera;46.26847275;Switzerland;7.032514702;660956;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
MEP1-H1;Chorthippus_parallelus;M;B8;Caelifera;46.26791258;Switzerland;7.162490295;37639;23.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;2277;insect metagenome;1234904
MEP1-H10;Decticus_verrucivorus;M;B5.1;Ensifera;46.28508505;Switzerland;7.124605796;441217;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-H11;Metrioptera_roeselii;M;B5.1;Ensifera;46.28508505;Switzerland;7.124605796;494379;21.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1361;insect metagenome;1234904
MEP1-H12;Stauroderus_scalaris;F;B5.2;Caelifera;46.29094315;Switzerland;7.112594383;7019;15.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;1712;insect metagenome;1234904
MEP1-H2;Chorthippus_parallelus;M;B2;Caelifera;46.26847275;Switzerland;7.032514702;37639;17.08.17;Alpine orthopteran microbiome;gut;Alpine orthopteran gut microbiomes;temperate_biome [ENVO_01001831];digestive_tract [UBERON_0001555 ];digestive_tract [UBERON_0001555 ];Switzerland;743;insect metagenome;1234904
